id,x,y,dir_x,dir_y
0,23.610168,2.933471,0.369770,0.929123
1,36.001785,38.662697,0.028279,0.999600
2,96.867714,41.404415,-0.086892,0.996218
3,2.732022,4.393451,0.884593,0.466364
4,83.948036,31.066748,0.630998,0.775785
5,91.551834,55.126987,-0.679107,-0.734040
6,4.426047,55.569599,-0.998968,-0.045415
7,94.112785,29.813894,-0.997868,0.065267
8,48.782471,4.370992,-0.911934,0.410338
9,39.204876,72.705200,0.837497,0.546442
10,26.237972,84.986908,0.802353,-0.596850
11,53.800274,4.783132,-0.669881,0.742468
12,52.411041,34.890499,-0.236699,0.971583
13,41.818226,32.577393,0.107557,-0.994199
14,28.494558,41.084553,0.896605,0.442832
15,43.813820,67.897110,0.865440,0.501012
16,25.304844,56.134445,0.000125,-1.000000
17,71.071564,19.032429,-0.976043,0.217577
18,45.011272,14.923590,-0.958555,-0.284907
19,87.067604,3.836978,0.484714,-0.874673
20,3.306345,57.787243,-0.697419,0.716664
21,22.837091,5.440621,0.942586,0.333964
22,26.228397,4.252653,-0.737457,-0.675394
23,36.511478,43.840748,0.127395,-0.991852
24,24.717445,1.106948,0.654203,0.756319
25,46.317497,71.313431,0.991713,-0.128475
26,71.597786,54.228302,-0.698726,0.715390
27,70.207520,50.426781,-0.087836,0.996135
28,83.950760,11.428780,0.974303,0.225242
29,57.174644,79.032951,-0.977781,-0.209629
30,0.956265,56.363644,-0.914038,0.405629
31,93.802574,32.486561,0.284605,-0.958645
32,94.864586,10.297087,-0.730400,0.683020
33,42.143394,84.836998,0.957301,0.289094
34,67.157013,13.245246,0.728055,0.685519
35,52.445671,37.372051,0.784192,-0.620518
36,43.644226,81.767975,0.344589,0.938754
37,43.068111,31.778717,-0.915732,0.401790
38,1.686948,30.678816,0.935116,-0.354342
39,35.806026,64.265762,-0.108590,0.994087
40,94.866562,18.422335,0.721433,-0.692484
41,72.811676,17.622772,0.040142,0.999194
42,46.256813,1.817551,0.998958,0.045643
43,40.397289,62.838955,-0.371861,0.928288
44,69.869614,24.153437,0.709388,0.704818
45,46.414421,28.545019,-0.998674,0.051477
46,18.976612,69.899841,-0.143428,-0.989661
47,26.402987,92.069199,0.826554,-0.562857
48,76.670883,26.152536,0.999175,-0.040610
49,8.127789,45.907970,0.407284,-0.913302
50,74.419441,8.869853,-0.985479,0.169795
51,17.300156,90.761269,-0.195143,-0.980775
52,62.600033,52.601730,0.221126,-0.975245
53,66.943794,99.785278,-0.020298,0.999794
54,32.732159,20.373743,0.858849,0.512229
55,92.369011,43.683250,-0.777493,0.628891
56,91.868736,38.343510,-0.479007,0.877811
57,74.069740,42.667362,-0.437975,0.898987
58,63.698738,85.604622,0.057248,0.998360
59,33.916023,60.200951,-0.630583,0.776122
60,17.141222,16.438766,-0.956787,0.290789
61,7.743672,41.631367,0.052563,-0.998618
62,90.066223,30.727058,0.667019,-0.745040
63,49.308060,60.120029,-0.742510,0.669835
64,86.690407,26.600416,-0.988024,-0.154299
65,62.078468,8.275585,-0.938732,-0.344647
66,4.258527,32.200859,-0.014063,-0.999901
67,95.326324,95.419426,-0.885099,0.465403
68,93.896706,73.913605,-0.401271,-0.915959
69,93.539757,86.689095,-0.300974,0.953632
70,82.384285,8.491488,0.698272,-0.715833
71,78.524246,55.571701,-0.761817,0.647792
72,33.912857,14.716994,-0.766829,0.641851
73,35.254612,49.834927,-0.405740,-0.913988
74,85.150200,2.368722,-0.749969,-0.661473
75,79.080353,91.264099,-0.852338,0.522991
76,5.990970,18.992453,0.680210,0.733018
77,86.304161,59.821758,0.876710,-0.481020
78,85.705498,11.537129,0.056951,0.998377
79,84.592255,71.783211,0.356817,-0.934174
80,86.305130,23.909096,-0.763895,-0.645341
81,0.961687,81.976105,0.173038,0.984915
82,65.417519,79.998566,-0.999702,0.024419
83,18.788649,32.077988,-0.875413,-0.483376
84,27.453882,61.457973,0.787646,-0.616128
85,6.190581,31.817591,-0.999958,-0.009187
86,49.049629,22.488379,0.385598,0.922667
87,80.765785,95.164009,0.177489,-0.984123
88,67.425888,21.212793,0.572958,-0.819585
89,80.783592,35.976528,-0.255823,0.966724
90,93.150993,21.286339,0.990331,-0.138724
91,35.958332,80.748840,-0.080534,0.996752
92,3.289463,72.682526,0.792352,-0.610063
93,53.390728,38.726330,-0.853620,0.520897
94,68.568344,75.156898,0.165619,-0.986190
95,10.125186,13.543854,-0.973236,-0.229809
96,43.139908,9.760027,0.996591,-0.082505
97,88.355881,59.631306,-0.769458,0.638698
98,95.334465,74.387299,-0.873599,-0.486646
99,81.052299,58.093239,-0.242660,0.970111
100,71.640862,25.236429,-0.571184,-0.820822
101,17.561255,48.693295,0.804520,-0.593925
102,9.994261,85.098167,-0.111337,0.993783
103,36.764149,32.019062,-0.936545,-0.350546
104,69.476845,72.519798,0.983059,0.183287
105,92.514343,48.350887,-0.709612,-0.704593
106,66.791023,71.476868,-0.978842,0.204616
107,12.085651,69.713249,0.221278,-0.975211
108,93.918144,12.860728,-0.896596,-0.442850
109,90.074295,85.044861,-0.994452,-0.105195
110,19.553308,60.356758,0.749356,-0.662167
111,52.024841,22.933840,0.853676,0.520805
112,37.436703,92.241997,-0.972434,0.233177
113,38.023911,50.049454,-0.906119,0.423024
114,27.744123,3.811941,0.983678,-0.179936
115,0.298601,30.497952,-0.810135,-0.586244
116,21.631235,91.608070,-0.958373,-0.285518
117,95.769348,79.480667,-0.508380,0.861133
118,78.971954,81.525650,0.698782,-0.715335
119,89.864883,44.108341,-0.029925,-0.999552
120,61.738976,12.232532,-0.914651,0.404245
121,17.573624,79.694069,0.349530,-0.936925
122,30.432001,63.548031,0.660197,0.751093
123,63.170589,97.769333,-0.997201,0.074772
124,78.637497,4.318233,0.615325,0.788273
125,64.680466,90.805916,-0.576417,0.817155
126,45.277378,70.208183,-0.947864,0.318674
127,87.529457,14.048372,0.094942,-0.995483
128,73.587990,54.690430,-0.996146,-0.087709
129,6.997007,58.682926,0.914550,0.404472
130,43.357723,11.374296,0.302100,0.953276
131,4.245931,28.350266,-0.359258,0.933238
132,9.163131,54.218800,-0.993411,-0.114608
133,58.265797,95.641434,-0.832173,-0.554516
134,96.634926,95.962593,0.528980,-0.848635
135,59.069813,80.075119,0.644491,-0.764612
136,70.244171,43.732769,-0.741172,0.671315
137,13.088396,49.640587,0.600905,0.799321
138,69.288010,56.592323,-0.931752,-0.363095
139,26.236643,13.188505,-0.753628,0.657301
140,91.589363,51.579388,-0.999654,0.026288
141,50.388412,41.623676,0.114816,-0.993387
142,94.542206,51.998753,0.960073,-0.279750
143,23.787487,7.510545,0.470647,0.882321
144,42.142479,41.872711,-0.781618,0.623757
145,82.156487,99.228554,0.330969,-0.943642
146,8.956130,51.557098,0.909914,0.414797
147,10.697581,85.764229,0.989580,-0.143985
148,11.057518,59.494278,-0.784116,0.620615
149,94.613976,70.762611,-0.886857,0.462044
150,79.488464,91.423042,-0.984287,-0.176579
151,45.695171,46.630398,0.201697,-0.979448
152,37.619038,5.489933,0.941914,-0.335853
153,40.642147,82.573364,0.886811,0.462132
154,78.807304,73.029221,-0.888381,0.459108
155,46.178078,20.875498,-0.983091,0.183120
156,61.657063,18.165287,0.048048,-0.998845
157,22.589699,38.527088,0.993924,-0.110073
158,36.849422,61.247543,-0.111514,0.993763
159,78.423836,70.842979,-0.512814,-0.858500
160,39.447353,97.013321,-0.220442,-0.975400
161,32.910114,73.251213,0.086305,0.996269
162,7.490760,81.684074,-0.942357,-0.334608
163,92.684067,85.272171,0.977211,0.212272
164,57.934830,97.635307,-0.578053,0.815999
165,16.954960,65.606133,0.940502,-0.339788
166,7.627177,29.507427,-0.949969,-0.312344
167,16.596504,6.255199,0.922085,-0.386986
168,27.153048,22.692577,-0.998283,-0.058579
169,51.308315,85.081001,-0.227635,-0.973746
170,74.937538,50.285526,-0.933980,0.357325
171,58.771591,99.179558,-0.915776,-0.401689
172,28.452030,46.494446,-0.542878,0.839811
173,12.592689,93.985924,-0.691388,0.722483
174,96.020226,23.243685,-0.787972,-0.615711
175,36.179237,23.714123,0.984307,-0.176465
176,62.758343,80.452858,-0.009773,0.999952
177,85.211639,77.175026,0.733363,-0.679837
178,23.574863,89.049957,0.931239,0.364408
179,92.748474,94.003181,-0.781149,0.624344
180,31.308882,81.914398,-0.528765,-0.848768
181,76.206543,60.418072,-0.348262,0.937397
182,91.505630,5.146734,-0.978081,-0.208225
183,45.994797,33.119942,-0.992545,-0.121881
184,12.182331,31.705364,-0.944496,-0.328524
185,14.164635,39.275242,0.877526,0.479529
186,39.763908,2.368119,-0.776506,-0.630109
187,18.093115,33.818321,0.771224,-0.636564
188,4.078678,57.251778,-0.305148,-0.952305
189,55.066711,51.249985,0.216148,0.976361
190,93.783463,7.823552,-0.989064,-0.147487
191,18.156414,75.127937,0.818175,0.574970
192,82.180534,42.284859,0.386312,-0.922368
193,66.251724,32.413601,0.926571,-0.376119
194,29.699135,94.535019,0.997656,0.068431
195,34.909142,48.555027,0.074307,0.997235
196,44.794403,29.174555,-0.857515,-0.514459
197,27.022476,94.938553,0.643873,-0.765132
198,74.694534,62.361202,-0.566093,0.824341
199,27.522360,79.819847,-0.234189,-0.972191
200,84.218224,52.423683,0.853390,0.521273
201,86.053261,10.060542,0.818370,-0.574692
202,87.450317,6.486153,-0.965176,-0.261601
203,18.900469,17.957626,0.367267,-0.930115
204,35.421310,6.511984,-0.887473,-0.460860
205,65.952194,52.174553,-0.150542,0.988604
206,36.596607,62.349476,0.079267,0.996853
207,87.828552,71.715889,0.376353,-0.926476
208,9.333047,31.933968,-0.387444,-0.921893
209,2.005398,45.075264,0.934093,0.357029
210,54.768490,81.234032,-0.174742,-0.984614
211,22.117270,31.650820,-0.898312,0.439358
212,12.228394,84.667412,0.559441,-0.828870
213,89.989105,69.206535,-0.999891,0.014784
214,66.027557,96.698746,-0.961353,0.275319
215,34.800755,71.642395,-0.761737,0.647887
216,58.850681,3.663336,0.590550,-0.807001
