id,x,y,dir_x,dir_y
0,198.000214,26.313993,-0.996662,-0.081644
1,38.056175,141.029144,-0.987891,-0.155152
2,76.796295,21.049383,-0.858157,-0.513388
3,21.452879,156.342163,-0.566679,0.823938
4,138.901077,41.602493,0.992055,0.125808
5,1.994095,115.050209,0.517171,0.855882
6,96.159248,104.921494,-0.281198,0.959650
7,131.528809,121.571281,-0.256243,-0.966612
8,26.395493,138.829025,0.560670,0.828039
9,125.884087,16.859627,0.554542,-0.832156
10,171.528732,131.393112,-0.606520,-0.795068
11,15.977291,115.481613,-0.475631,-0.879645
12,102.625626,161.051697,0.918378,0.395705
13,89.915977,189.273697,0.826991,-0.562215
14,173.030380,119.122261,0.830570,-0.556914
15,65.503937,139.921005,-0.693256,0.720692
16,100.046890,15.605364,-0.621503,-0.783412
17,157.310272,167.857422,0.796857,0.604168
18,175.108963,37.416183,-0.586196,0.810169
19,27.469448,150.654602,-0.613957,0.789340
20,154.850159,167.561554,0.695849,0.718188
21,64.299324,57.838837,-0.898472,-0.439030
22,160.384018,173.085815,-0.989325,0.145724
23,183.656036,113.238739,0.869995,-0.493061
24,115.081985,105.665474,-0.311767,0.950158
25,68.701393,123.697235,0.411014,-0.911629
26,165.998840,53.909927,-0.991294,-0.131665
27,17.997742,48.971260,0.695834,-0.718203
28,62.812443,153.927994,0.127783,-0.991802
29,42.361454,31.485167,0.546825,-0.837247
30,171.260345,173.898361,-0.650625,-0.759399
31,41.875668,164.799240,-0.985087,-0.172056
32,97.882736,166.241959,0.980822,-0.194908
33,58.480659,4.113950,-0.339729,0.940523
34,39.928822,114.520020,-0.968645,0.248448
35,30.660711,171.649155,0.444185,-0.895935
36,155.911453,34.409077,-0.988981,-0.148039
37,109.788925,145.453476,-0.980709,0.195472
38,30.427959,65.313744,-0.986630,0.162977
39,165.848083,61.910164,-0.995429,-0.095501
40,81.274574,23.784977,-0.044099,0.999027
41,12.824275,184.912247,0.053449,0.998571
42,13.011645,153.185516,-0.962578,0.271005
43,193.156815,153.881943,0.546888,-0.837206
44,172.554550,106.599800,0.952965,-0.303080
45,136.074677,128.621140,0.599304,-0.800521
46,21.871571,174.207352,0.857987,0.513672
47,110.667534,102.444847,-0.375679,0.926750
48,73.485062,81.150635,-0.838868,-0.544334
49,93.947044,133.028290,-0.038173,-0.999271
50,131.285370,106.877502,-0.384378,0.923176
51,111.533028,140.383194,-0.712578,-0.701593
52,194.777267,106.566628,0.406352,0.913717
53,187.442383,67.976730,0.995987,-0.089501
54,105.098831,41.687336,-0.990919,0.134463
55,135.264969,78.491013,0.990278,-0.139105
56,73.948082,175.998367,-0.058236,0.998303
57,139.958511,111.792236,-0.500529,0.865720
58,197.346939,119.035973,-0.997572,-0.069642
59,86.853188,181.045547,0.767006,-0.641640
60,94.255432,123.869133,0.410862,-0.911698
61,49.873711,78.583687,-0.999546,0.030137
